Customer_ID,Gender,City,Account_Type,Balance,Churn,Age_Group,Income_Group
100000,Female,Delhi,Savings,293632.0,Yes,26-35,High Income
100001,Male,Delhi,Savings,92122.0,No,36-45,High Income
100002,Female,Delhi,Savings,842303.0,Yes,18-25,Middle Income
100003,Female,Chennai,Savings,1161198.0,No,46-55,Low Income
100004,Male,Delhi,Savings,180628.0,Yes,46-55,Low Income
100005,Female,Delhi,Savings,693958.0,No,66+,High Income
100006,Male,Bangalore,Savings,930312.0,No,66+,High Income
100007,Male,Delhi,Savings,1114852.0,No,46-55,High Income
100008,Female,Delhi,Savings,154638.0,No,46-55,High Income
100009,Male,Bangalore,Savings,750900.0,Yes,26-35,High Income
100010,Male,Mumbai,Savings,853235.0,No,36-45,Middle Income
100011,Male,Bangalore,Savings,1346284.0,Yes,66+,High Income
100012,Female,Bangalore,Savings,844894.0,Yes,56-65,High Income
100013,Female,Mumbai,Savings,153731.0,No,56-65,High Income
100014,Male,Mumbai,Current,1094244.0,No,26-35,Middle Income
100015,Female,Bangalore,Savings,879751.0,No,36-45,High Income
100016,Female,Bangalore,Savings,796085.0,Yes,36-45,High Income
100017,Male,Bangalore,Savings,1208533.0,No,18-25,High Income
100018,Female,Pune,Savings,1243509.0,No,46-55,Middle Income
100019,Female,Delhi,Current,511247.0,Yes,26-35,High Income
100020,Male,Pune,Current,1161477.0,Yes,18-25,Middle Income
100021,Male,Pune,Savings,750900.0,No,46-55,Middle Income
100022,Female,Pune,Savings,299291.0,No,26-35,High Income
100023,Male,Kolkata,Current,192349.0,No,66+,High Income
100024,Male,Delhi,Savings,605040.0,Yes,46-55,High Income
100025,Female,Chennai,Current,6379.0,No,66+,Middle Income
100026,Male,Delhi,Savings,959247.0,No,46-55,High Income
100027,Male,Bangalore,Savings,118690.0,No,18-25,High Income
100028,Female,Bangalore,Current,807760.0,Yes,36-45,Middle Income
100029,Female,Bangalore,Current,278159.0,No,36-45,High Income
100030,Male,Bangalore,Savings,1300283.0,No,26-35,High Income
100031,Female,Hyderabad,Savings,209361.0,Yes,26-35,High Income
100032,Male,Kolkata,Current,1133913.0,No,66+,Middle Income
100033,Male,Chennai,Savings,931217.0,No,18-25,High Income
100034,Female,Bangalore,Current,750900.0,No,26-35,High Income
100035,Female,Mumbai,Current,1304849.0,Yes,66+,High Income
100036,Female,Delhi,Savings,1414414.0,No,66+,High Income
100037,Female,Delhi,Savings,798352.0,No,46-55,Middle Income
100038,Male,Chennai,Savings,713010.0,No,36-45,Middle Income
100039,Female,Bangalore,Savings,651972.0,No,36-45,Low Income
100040,Female,Bangalore,Savings,1254857.0,No,66+,High Income
100041,Male,Mumbai,Savings,476095.0,No,66+,Middle Income
100042,Male,Bangalore,Current,340860.0,Yes,46-55,High Income
100043,Female,Bangalore,Savings,704154.0,Yes,66+,Middle Income
100044,Female,Delhi,Savings,750900.0,No,18-25,Middle Income
100045,Female,Bangalore,Current,88883.0,Yes,66+,Middle Income
100046,Female,Chennai,Savings,379444.0,Yes,56-65,Middle Income
